,,,,,,,,,,,,,,,,,,,,Before Integration,,,,,,After Integration,,,,,,
Current MS Compounds,ESI Mode,Molecular Formula,CAS,Pathways,Expected RT,Peak Rating,Notes,,,Integration Notes,Gaussian smooth width (points):,Expected RT (min):,RT Half Window (sec):,Min. Peak Width (points):,Min. Peak Height:,Noise Percentage (%):,Baseline Sub. Window (min):,Peak Splitting (points):,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,Peak Shape,Baseline,Interference,Retention Shift,Qc Action,,
Geranyl Pyrophosphate,NEG,C10H20O7P2,763-10-0,"Ubiquionone, other terpenoid-quinone biosynthesis; Terpinoid backbone biosynthesis; Monoterpenoid biosynthesis; Biosynthesis of plant secondary metabolites",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
DTMP,NEG,C10H15N2O8P,365-07-1,Pyrimidine metabolism; Antifolate resistance,7.60,Good,Tall peak seen in some tissue samples. May have some other peaks to its right,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
CMP,NEG,C9H14N3O8P,63-37-6,Pyrimidine metabolism,9.95,Okay,Small peek seen in some tissue samples. Usually to the left of a taller peak,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
F16BP/F26BP/G16BP,NEG,C6H14O12P2,34693-15-7/N/A/10139-18-1,"Fructose, mannose metabolism; AMPK signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer",13.35,Okay,Tall peak rarely seen in some tissue samples. Right most of the three visible peaks. Noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Lactose/Trehalose,NEG,C12H22O11,63-42-3,"Galactose metabolism; ABC Transporters; Phosphotransferase system; Carbohydrate digestion, absorption",8.05,Good,Tall thin peak seen in many samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Sucrose,NEG,C12H22O11,57-50-1,"Galactose metabolism; Starch, sucrose metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Phosphotransferase system",7.60,Good,Thin peak seen in most samples and QC(I). Noisy baseline,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
cGMP,NEG,C10H12N5O7P,7665-99-8,Purine metabolism; cGMP-PKG signaling pathway; Vascular smooth muscle contraction; Gap junction,7.45,Okay,Tall peak seen in a few tissue samples. Baseline can get very noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Gibberellin,NEG,C19H22O6,77-06-5,Diterpenoid biosynthesis; Biosynthesis of secondary metabolites,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
AMP,NEG,C10H14N5O7P,61-19-8,"Purine metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of plant hormones",8.20,Good,Tall thin peak seen in many samples.  ,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
IMP,NEG,C10H13N4O8P,131-99-7,"Purine metabholism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of plant hormones",8.50,Good,Tall peak seen to the right of a taller peak in many samples. Baseline somewhat noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
PGE,NEG,C20H32O5,363-24-6,Arachidonic acid metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction; C-type lectin receptor signaling pathway,1.50,Good,Tall broad peak seen in some tissue samples and QC(I),,,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Cortisol,NEG,C21H30O5,50-23-7,"Steroid hormone biosynthesis; Neuroactive ligand-receptor interaction; Cortisol synthesis, secretion",1.45,Bad,Small peak seen in a few samples. Baseline very noisy,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
DCDP,NEG,C9H15N3O10P2,800-73-7,Pyrimidine metabolism,10.15,Okay,Tall broad peak seen in some tissue samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
PRPP,NEG,C5H13O14P3,7540-64-9,Pentose phosphate pathway; Purine metabolism; Pyrimidine metabolism; Histidine metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Deoxycholic Acid,NEG,C24H40O4,83-44-3,Secondary bile acid biosynthesis; Bile secretion,1.55,Okay,Thin peak seen in most samples and QC(I). Baseline very noisy,,,,,,,,,,,,,Shoulder ,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Chenodeoxycholate,NEG,C24H40O4,474-25-9,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion,1.30,Okay,Tall peak seen in a few tissue samples. Noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
UDP,NEG,C9H14N2O12P2,58-98-0,Pyrimidine metabolism; Zeatin biosynthesis; Neuroactive ligand-receptor interaction,8.30,Bad,Thin peak second to the right in a sries of peaks seen in a few tissue samples. Very noisy,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
beta-Muricholic Acid,NEG,C24H40O5,39016-49-4,Secondary bile acid biosynthesis,1.55,Okay,Average peak seen in a few tissue samples. Noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Cholic Acid,NEG,C24H40O5,81-25-4,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion,1.60,Okay,Average peak seen in a few tissue samples. Noisy baseline,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
gamma-Tocopherol,NEG,C28H48O2,54-28-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites",1.50,Okay,Average peak rarely seen in tissue samples. To the right of another tall peak,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
ADP,NEG,C10H15N5O10P2,58-64-0,Oxidative phosphorylation; Photosynthesis; Purine metabolism; Zeatin biosynthesis,9.55,Good,Tall peak seen in some tissue samples. To the left of a large broad peak.,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
alpha-Tocopherol,NEG,C29H50O2,59-02-9,"Ubiquionone, other terpenoid-quinone biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Ferroptosis; Vitamin digestion, absorption",1.20,Good,Tall thin peak seen in some samples. Baseline a little noisy at times,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
GDP,NEG,C10H15N5O11P2,146-91-8,Purine metabolism; RNA tr5ansport; Ras signaling pathway; Rap1 signaling pathway; Autophagy - animal; Endocytosis,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Glycochenodeoxycholate,NEG,C26H43NO5,640-79-9,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secrection; Cholesterol metabolism,4.30,Good,Tall peak seen in some samples and QC(I). ,,,,,,,,,,,,,Clean,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Adenylosuccinate,NEG,C14H18N5O11P,19046-78-7,"Purine metabolism; Alanine, aspartate, glutamate metabolism",1.55,Great,Tall thin peak seen in most samples and QC(I),,,,,,,,,,,,,Shoulder/tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
Glycocholate,NEG,C26H43NO6,475-31-0,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion; Cholesterol metabolism,5.60,Good,Tall peak seen in many samples and QC(I). Baseline a little noisy,,,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
Cholesteryl Sulfate,NEG,C27H46O4S,1256-86-6,Steroid hormone biosynthesis,1.20,Great,Tall thin peak seen in most samples and QC(I). ,,,,,,,,,,,,,Shoulder,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
dCTP,NEG,C9H16N3O13P3,2056-98-6,Pyrimidine metabolism,13.50,Okay,Average peak rarely seen in tissue samples. Baseline fairly noisy,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Noisy,None,None,Accept,,Clean,Noisy,None,None,Accept,,
DUTP,NEG,C9H16N3O13P3,1173-82-6,Pyrimidine metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
TTP,NEG,C10H17N2O14P3,365-08-2,Pyrimidine metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
CTP,NEG,C9H16N3O14P3,65-47-4,Pyrimidine metabolism; Mannose type O-glycan biosynthesis,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
DATP,NEG,C10H16N5O12P3,1927-31-7,Purine metabolism,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
ATP,NEG,C10H16N5O13P3,56-65-5,Oxidative phosphorylation; Photosynthesis; Purine metabolism; Zeatin biosynthesis,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Phosphoadenosine Phosphosulfate,NEG,C10H15N5O13P2S,482-67-7,"Purine emtabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, heparin sulfate / heparin",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Tauro-alpha/beta-Muricholic Acid,NEG,C26H45NO7S,25696-60-0,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation,3.45,Okay,Broad peak seen in some samples. Noisy signal,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
Taurocholate,NEG,C26H45NO7S,81-24-3,"Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Taurine, hypotaurine metabolism; Bile secretion; Cholesterol metabolism",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
GTP,NEG,C10H16N5O14P3,86-01-1,Purine metabolism; Riboflavin metabolism; Folate biosynthesis; Biosynthesis of secondary metabolites; Biofilm formation - Pseudomonas aeruginosa; RNA transport,N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
UDP-Glucose,NEG,C15H24N2O17P2,133-89-1,"Pentose, glucuronate interconversions; Galactose metabolism; Ascorbate, aldarate metabolism; Pyrimidine metabolism",11.00,Good,Small peak attached to the right side of another peak seen in most samples,#VALUE!,#VALUE!,,,,,,,,,,,Shoulder,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
UDP-GlcNAc,NEG,C17H27N3O17P2,528-04-1,"Amino sugar, nucleotide sugar metabolism; Neomycin, kanamycin, gentamicin biosynthesis",10.00,Great,Tall peak seen in most samples,#VALUE!,#VALUE!,,,,,,,,,,,Clean,Stable,Co-eluting,None,Accept,,Clean,Stable,None,None,Accept,,
Oxidized Glutathione,NEG,C17H27N3O17P2,27025-41-8,Glutathione metabolism; Ferroptosis; Thryoid hormone synthesis,13.30,Good,Tall thin peak seen in most samples. Baseline somewhat noisy,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
NADH,NEG,C21H29N7O14P2,58-68-4,"Oxidative phosphorylation; Calcium signaling pathway; Thermogenesis; Aldosterone synthesis, secretion",9.10,Good,Tall peak seen in many tissue samples. Baseline a bit noisy,#VALUE!,#VALUE!,,,,,,,,,,,Tailing,Stable,None,None,Accept,,Clean,Stable,None,None,Accept,,
NADP,NEG,C21H29N7O17P3,53-59-8,"Photosynthesis; Glutathione metabolism; Nicotinate, nicotinamide metabolism; Drug metabolism; Thyroid hormone synthesis; Aldosterone synthesis, secretion",N/A,N/A,Not seen in samples,#VALUE!,#VALUE!,,,,,,,,,,,,Noisy,,,,,,Noisy,,,,,
